"","q1AgeBeginCoding","q2Age","q3Gender","q4Education","q5DegreeFocus","q8JobLevel","q9CurrentRole","q10Industry","q16HiringManager","q24VimorEmacs"
"3143","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"3144","11 - 15 years old","12 - 18 years old","Female","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"3145","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"3146","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Technology","Yes","Emacs"
"3147","21 - 25 years old","25 - 34 years old","Male","Vocational training (like bootcamp)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Retail","No","Vim"
"3148","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Health Care","No","Emacs"
"3149","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Software Engineer","Insurance","No","Vim"
"3150","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Senior developer","Software Test Engineer","Media","No","Vim"
"3151","5 - 10 years old","35 - 44 years old","Male","College graduate","Computer Science","Engineering manager","Front-end Developer","Health Care","Yes","Emacs"
"3152","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Principal engineer","Software Engineer","Media","Yes","Vim"
"3153","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"3154","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"3155","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Manufacturing","Yes","Vim"
"3156","11 - 15 years old","35 - 44 years old","Female","College graduate","Computer Science","Senior developer","Data Scientist","Technology","No","Vim"
"3157","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","Yes","Vim"
"3158","5 - 10 years old","35 - 44 years old","Male","Some college","Computer Science","Principal engineer","Platform Engineer","Computer Hardware","Yes","Vim"
"3159","36 - 40 years old","35 - 44 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Test Engineer","Food & Beverage","Yes","Vim"
"3160","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Education","No","Vim"
"3161","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Technology","No","Emacs"
"3162","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Full-stack Developer","Insurance","No","Emacs"
"3163","11 - 15 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"3164","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","New grad","Software Engineer","Technology","No","Vim"
"3165","21 - 25 years old","18 - 24 years old","Male","Some college","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","Yes","Vim"
"3166","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"3167","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Technology","Yes","Vim"
"3168","16 - 20 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Principal engineer","Software Architect","Computer Hardware","Yes","Emacs"
"3169","21 - 25 years old","45 - 54 years old","Female","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Education","Yes","Vim"
"3170","11 - 15 years old","45 - 54 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Development Operations Engineer","Technology","Yes","Vim"
"3171","11 - 15 years old","18 - 24 years old","Male","Some college","Computer Science","New grad","Software Engineer","Financial Services","No","Vim"
"3172","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"3173","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Mobile Developer","Health Care","Yes","Vim"
"3174","16 - 20 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Financial Services","No","Emacs"
"3175","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Web Developer","Technology","Yes","Vim"
"3176","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Senior developer","Full-stack Developer","Retail","No","Vim"
"3177","21 - 25 years old","35 - 44 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Software Test Engineer","Health Care","Yes","Vim"
"3178","11 - 15 years old","25 - 34 years old","Male","Some college","Computer Science","Student","Student","Government","No","Vim"
"3179","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Emacs"
"3180","21 - 25 years old","25 - 34 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Emacs"
"3181","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Retail","Yes","Emacs"
"3182","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"3183","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Health Care","No","Vim"
"3184","16 - 20 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Financial Services","Yes","Vim"
"3185","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Technology","Yes","Vim"
"3186","16 - 20 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Back-end Developer","Financial Services","Yes","Vim"
"3187","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Financial Services","Yes","Vim"
"3188","16 - 20 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Financial Services","Yes","Vim"
"3189","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Mobile Developer","Media","No","Vim"
"3190","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Data Engineer","Energy, Oil, Gas, Utilities","No","Emacs"
"3191","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"3192","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"3193","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Insurance","No","Vim"
"3194","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Technology","Yes","Vim"
"3195","26 - 30 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Aerospace & Defense","No","Vim"
"3196","16 - 20 years old","55 - 64 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Engineering manager","Full-stack Developer","Health Care","Yes","Vim"
"3197","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Data Scientist","Technology","No","Vim"
"3198","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Principal engineer","Unemployed","Technology","Yes","Vim"
"3199","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Health Care","No","Emacs"
"3200","16 - 20 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Platform Engineer","Media","Yes","Vim"
"3201","11 - 15 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Back-end Developer","Automotive & Transportation","No","Vim"
"3202","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Financial Services","Yes","Vim"
"3203","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Back-end Developer","Technology","No","Vim"
"3204","5 - 10 years old","45 - 54 years old","Male","College graduate","Computer Science","Principal engineer","Full-stack Developer","Insurance","No","Vim"
"3205","11 - 15 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","Yes","Vim"
"3206","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Technology","No","Emacs"
"3207","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Data Scientist","Financial Services","Yes","Emacs"
"3208","5 - 10 years old","45 - 54 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","Yes","Vim"
"3209","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"3210","11 - 15 years old","35 - 44 years old","Male","College graduate","Computer Science","Principal engineer","Data Engineer","Health Care","Yes","Vim"
"3211","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Automotive & Transportation","No","Vim"
"3212","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"3213","11 - 15 years old","12 - 18 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Engineering manager","Network Administrator","Education","No","Emacs"
"3214","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Retail","Yes","Emacs"
"3215","11 - 15 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Data Analyst","Health Care","No","Vim"
"3216","16 - 20 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Government","Yes","Vim"
"3217","21 - 25 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Mobile Developer","Health Care","Yes","Vim"
"3218","16 - 20 years old","25 - 34 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Insurance","No","Emacs"
"3219","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Professional Services","Yes","Vim"
"3220","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Front-end Developer","Technology","No","Emacs"
"3221","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","New grad","Full-stack Developer","Professional Services","Yes","Vim"
"3222","16 - 20 years old","18 - 24 years old","Female","Some college","Computer Science","Student","Student","Education","No","Emacs"
"3223","5 - 10 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Architect","Software Architect","Technology","Yes","Emacs"
"3224","16 - 20 years old","55 - 64 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Principal engineer","Software Engineer","Aerospace & Defense","Yes","Vim"
"3225","21 - 25 years old","45 - 54 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","Yes","Vim"
"3226","16 - 20 years old","35 - 44 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Principal engineer","Full-stack Developer","Health Care","Yes","Vim"
"3227","16 - 20 years old","18 - 24 years old","Female","Some college","Computer Science","Student","Student","Education","No","Vim"
"3228","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Financial Services","No","Vim"
"3229","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Back-end Developer","Education","No","Vim"
"3230","11 - 15 years old","35 - 44 years old","Male","Some college","Computer Science","Level 1 developer (junior)","Full-stack Developer","Food & Beverage","No","Vim"
"3231","11 - 15 years old","25 - 34 years old","Male","Some college","Computer Science","Student","Student","Education","No","Vim"
"3232","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Senior developer","Front-end Developer","Financial Services","Yes","Vim"
"3233","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Architect","Technology","Yes","Emacs"
"3234","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Financial Services","No","Emacs"
"3235","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Financial Services","No","Vim"
"3236","11 - 15 years old","35 - 44 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","No","Emacs"
"3237","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","New grad","Back-end Developer","Technology","No","Vim"
"3238","26 - 30 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Health Care","No","Vim"
"3239","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"3240","5 - 10 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"3241","21 - 25 years old","25 - 34 years old","Female","Some college","Computer Science","Student","Student","Computer Hardware","No","Emacs"
"3242","11 - 15 years old","35 - 44 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Engineering manager","Development Operations Engineer","Technology","Yes","Vim"
"3243","11 - 15 years old","25 - 34 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"3244","11 - 15 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Web Developer","Financial Services","No","Vim"
"3245","26 - 30 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Technology","Yes","Vim"
"3246","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Data Engineer","Non-Profit","No","Vim"
"3247","5 - 10 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Media","Yes","Vim"
"3248","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Director / VP of Engineering","Full-stack Developer","Professional Services","Yes","Vim"
"3249","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"3250","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Real estate","Yes","Vim"
"3251","11 - 15 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Architect","Software Architect","Media","Yes","Emacs"
"3252","11 - 15 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"3253","11 - 15 years old","25 - 34 years old","Male","High school graduate","Computer Science","Senior developer","Development Operations Engineer","Technology","Yes","Vim"
"3254","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Health Care","Yes","Vim"
"3255","16 - 20 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"3256","21 - 25 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Software Engineer","Technology","No","Vim"
"3257","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"3258","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"3259","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Non-Profit","No","Vim"
"3260","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Data Engineer","Financial Services","No","Vim"
"3261","26 - 30 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Web Developer","Media","No","Vim"
"3262","21 - 25 years old","25 - 34 years old","Female","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"3263","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Financial Services","Yes","Vim"
"3264","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"3265","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Software Engineer","Technology","No","Vim"
"3266","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"3267","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Founder / CEO / CTO","Full-stack Developer","Education","Yes","Emacs"
"3268","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"3269","26 - 30 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Insurance","No","Vim"
"3270","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"3271","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Web Developer","Financial Services","Yes","Vim"
"3272","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Founder / CEO / CTO","Full-stack Developer","Health Care","Yes","Vim"
"3273","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Media","Yes","Vim"
"3274","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","New grad","Unemployed","Technology","Yes","Vim"
"3275","11 - 15 years old","12 - 18 years old","Male","Some high school","Computer Science","Student","Student","Technology","No","Vim"
"3276","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Automotive & Transportation","Yes","Vim"
"3277","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Full-stack Developer","Education","No","Vim"
"3278","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Front-end Developer","Retail","No","Vim"
"3279","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Automotive & Transportation","No","Vim"
"3280","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"3281","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Architect","Software Architect","Financial Services","Yes","Vim"
"3282","21 - 25 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"3283","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","No","Vim"
"3284","11 - 15 years old","35 - 44 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Education","Yes","Vim"
"3285","26 - 30 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Computer Hardware","No","Vim"
"3286","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Software Engineer","Aerospace & Defense","No","Vim"
"3287","16 - 20 years old","25 - 34 years old","Female","College graduate","Computer Science","Senior developer","Unemployed","Technology","Yes","Vim"
"3288","11 - 15 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Financial Services","No","Vim"
"3289","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Energy, Oil, Gas, Utilities","Yes","Vim"
"3290","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Vim"
"3291","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Data Engineer","Professional Services","Yes","Vim"
"3292","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Education","Yes","Vim"
"3293","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Student","Full-stack Developer","Technology","No","Vim"
"3294","5 - 10 years old","25 - 34 years old","Male","Vocational training (like bootcamp)","Computer Science","New grad","Unemployed","Technology","No","Vim"
"3295","26 - 30 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Development Operations Engineer","Technology","Yes","Vim"
"3296","16 - 20 years old","18 - 24 years old","Female","Some college","Computer Science","Student","Student","Technology","No","Emacs"
"3297","16 - 20 years old","18 - 24 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"3298","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Government","Yes","Vim"
"3299","16 - 20 years old","35 - 44 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Principal engineer","Software Engineer","Financial Services","Yes","Vim"
"3300","5 - 10 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Student","Software Engineer","Technology","No","Emacs"
"3301","31 - 35 years old","35 - 44 years old","Female","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Health Care","No","Vim"
"3302","21 - 25 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Web Developer","Education","No","Vim"
"3303","11 - 15 years old","45 - 54 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Automotive & Transportation","Yes","Emacs"
"3304","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Retail","No","Vim"
"3305","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","No","Vim"
"3306","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","Yes","Vim"
"3307","31 - 35 years old","35 - 44 years old","Male","College graduate","Computer Science","Student","Web Developer","Technology","No","Emacs"
"3308","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Government","Yes","Vim"
"3309","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Financial Services","Yes","Emacs"
"3310","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"3311","21 - 25 years old","45 - 54 years old","Female","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","Yes","Emacs"
"3312","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Media","No","Emacs"
"3313","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Financial Services","Yes","Vim"
"3314","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Architect","Software Architect","Financial Services","Yes","Vim"
"3315","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Software Engineer","Financial Services","No","Vim"
"3316","5 - 10 years old","25 - 34 years old","Male","College graduate","Computer Science","Freelancer","Front-end Developer","Technology","Yes","Emacs"
"3317","11 - 15 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Front-end Developer","Technology","No","Vim"
"3318","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Media","No","Vim"
"3319","5 - 10 years old","35 - 44 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Media","No","Vim"
"3320","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Automotive & Transportation","No","Vim"
"3321","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Retail","No","Vim"
"3322","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Financial Services","No","Vim"
"3323","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","Yes","Vim"
"3324","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","Yes","Vim"
"3325","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Full-stack Developer","Financial Services","No","Vim"
"3326","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Financial Services","Yes","Vim"
"3327","21 - 25 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"3328","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Data Engineer","Financial Services","No","Vim"
"3329","16 - 20 years old","35 - 44 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Media","Yes","Emacs"
"3330","16 - 20 years old","25 - 34 years old","Female","College graduate","Computer Science","Senior developer","Software Test Engineer","Automotive & Transportation","No","Vim"
"3331","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Full-stack Developer","Financial Services","No","Vim"
"3332","16 - 20 years old","25 - 34 years old","Female","College graduate","Computer Science","Senior developer","Software Engineer","Computer Hardware","No","Vim"
"3333","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Health Care","Yes","Vim"
"3334","16 - 20 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Test Engineer","Technology","No","Vim"
"3335","11 - 15 years old","45 - 54 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Architect","Software Architect","Financial Services","Yes","Vim"
"3336","16 - 20 years old","35 - 44 years old","Male","Vocational training (like bootcamp)","Computer Science","Engineering manager","Full-stack Developer","Retail","Yes","Vim"
"3337","16 - 20 years old","25 - 34 years old","Female","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Financial Services","Yes","Vim"
"3338","11 - 15 years old","35 - 44 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Founder / CEO / CTO","Software Engineer","Technology","Yes","Vim"
"3339","21 - 25 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Vim"
"3340","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Principal engineer","Data Engineer","Retail","Yes","Vim"
